group_k,group_l,epsilon_kl/kB [K],sigma_kl [Ang],sigma_kl [m],lambda_r_kl,lambda_a_kl,d_kl [Ang],d_kl [m],C_kl (Mie prefactor),a1_kl [K.m3],source_eps,source_sigma,source_lambda_r,source_lambda_a
CH2OH_Short,cCHNH,487.2531,4.452700,4.452700e-10,14.0847,6.0000,4.439281,4.439281e-10,3.281853,-2.404713e+03,CR,CR,CR,CR
CH2OH_Short,cCHN,523.6069,3.925414,3.925414e-10,12.9260,6.0000,3.911324,3.911324e-10,3.628520,-2.687063e+03,CR,CR,CR,CR
NH2,NH2,284.7837,3.247740,3.247740e-10,10.2538,6.0000,3.160447,3.160447e-10,5.133113,-1.634140e+03,self,self,self,self
NH2,NH,381.9759,3.252266,3.252266e-10,14.1044,6.0000,3.139572,3.139572e-10,3.276808,-1.766633e+03,database,CR,CR,CR
NH2,N,133.7651,3.161614,3.161614e-10,9.5403,6.0000,2.981847,2.981847e-10,5.913748,-7.454922e+02,CR,CR,CR,CR
NH2,OH,241.9400,3.023370,3.023370e-10,14.3317,6.0000,2.977687,2.977687e-10,3.220211,-1.173742e+03,database,CR,CR,CR
NH2,OH_Short,241.9434,3.023770,3.023770e-10,14.3317,6.0000,2.978087,2.978087e-10,3.220211,-1.173761e+03,database,CR,CR,CR
NH2,cCH2,332.1468,4.016470,4.016470e-10,14.2301,6.0000,3.970954,3.970954e-10,3.245131,-1.624086e+03,database,CR,CR,CR
NH2,cCH,405.3020,4.329670,4.329670e-10,9.0224,6.0000,4.269986,4.269986e-10,6.709490,-2.565915e+03,CR,CR,CR,CR
NH2,cNH,396.3025,4.114370,4.114370e-10,13.9372,6.0000,4.070177,4.070177e-10,3.320471,-1.957193e+03,CR,CR,CR,CR
NH2,cN,212.6450,3.929870,3.929870e-10,8.3882,6.0000,3.747377,3.747377e-10,8.150641,-1.385578e+03,CR,CR,CR,CR
NH2,cCHNH,101.6112,4.373870,4.373870e-10,9.7264,6.0000,4.318282,4.318282e-10,5.681567,-6.105707e+02,database,CR,CR,CR
NH2,cCHN,433.4098,3.846584,3.846584e-10,9.0233,6.0000,3.790324,3.790324e-10,6.707780,-2.743503e+03,CR,CR,CR,CR
NH,NH,100.0029,3.256791,3.256791e-10,19.9990,6.0000,3.118697,3.118697e-10,2.393365,-3.546097e+02,self,self,self,self
NH,N,79.2576,3.166140,3.166140e-10,13.0122,6.0000,2.960972,2.960972e-10,3.598864,-3.039042e+02,CR,CR,CR,CR
NH,OH,188.6100,3.027896,3.027896e-10,20.3469,6.0000,2.956813,2.956813e-10,2.363390,-7.715551e+02,database,CR,CR,CR
NH,OH_Short,188.6078,3.028296,3.028296e-10,20.3469,6.0000,2.957212,2.957212e-10,2.363390,-7.715565e+02,database,CR,CR,CR
NH,cCH2,549.4246,4.020996,4.020996e-10,20.1914,6.0000,3.950080,3.950080e-10,2.376613,-2.305573e+03,database,CR,CR,CR
NH,cCH,240.4249,4.334196,4.334196e-10,12.2193,6.0000,4.249111,4.249111e-10,3.902197,-1.254183e+03,CR,CR,CR,CR
NH,cNH,235.0479,4.118896,4.118896e-10,19.7430,6.0000,4.049303,4.049303e-10,2.416352,-9.967463e+02,CR,CR,CR,CR
NH,cN,126.1007,3.934396,3.934396e-10,11.2484,6.0000,3.726502,3.726502e-10,4.396300,-6.192698e+02,CR,CR,CR,CR
NH,cCHNH,237.5223,4.378396,4.378396e-10,13.2971,6.0000,4.297407,4.297407e-10,3.505745,-1.187951e+03,CR,CR,CR,CR
NH,cCHN,256.9973,3.851110,3.851110e-10,12.2207,6.0000,3.769450,3.769450e-10,3.901570,-1.337316e+03,CR,CR,CR,CR
N,N,62.9706,3.075488,3.075488e-10,8.8971,6.0000,2.803247,2.803247e-10,6.944421,-3.029651e+02,self,self,self,self
N,OH,260.9900,2.937244,2.937244e-10,13.2171,6.0000,2.799087,2.799087e-10,3.531141,-1.173607e+03,database,CR,CR,CR
N,OH_Short,260.9902,2.937644,2.937644e-10,13.2171,6.0000,2.799487,2.799487e-10,3.531141,-1.173657e+03,database,CR,CR,CR
N,cCH2,650.2408,3.930344,3.930344e-10,13.1255,6.0000,3.792354,3.792354e-10,3.560940,-3.129443e+03,database,CR,CR,CR
N,cCH,186.5381,4.243544,4.243544e-10,8.4300,6.0000,4.091386,4.091386e-10,8.032436,-1.230688e+03,CR,CR,CR,CR
N,cNH,182.9785,4.028244,4.028244e-10,12.8615,6.0000,3.891577,3.891577e-10,3.651222,-8.953692e+02,CR,CR,CR,CR
N,cN,98.4774,3.843744,3.843744e-10,7.8582,6.0000,3.568777,3.568777e-10,10.105615,-6.390066e+02,CR,CR,CR,CR
N,cCHNH,184.1669,4.287744,4.287744e-10,9.0649,6.0000,4.139682,4.139682e-10,6.634159,-1.144542e+03,CR,CR,CR,CR
N,cCHN,201.0077,3.760458,3.760458e-10,8.4309,6.0000,3.611724,3.611724e-10,8.030056,-1.319467e+03,CR,CR,CR,CR
